carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,split_id,label,x,y,row,col,sample_role
1.0,1.0,2236.0679,40.521645,192.30113,21.739496,0.0052441144,205.87396,4.5343654e-06,0.48233116,1,0,452750.0,-2385750.0,2466,1557,background
0.0,5.0,44592.6,44.907795,223.05354,-7.3224287,0.0068140905,128.27437,2.89842e-06,0.3462242,1,0,399250.0,-1970750.0,1636,1450,background
0.0,5.0,32882.367,42.833996,173.40936,105.16576,0.0021303897,142.43729,8.9072665e-07,0.5300202,1,0,394750.0,-1530750.0,756,1441,background
1.0,1.0,500.0,40.995342,189.87645,100.09024,0.0010255454,147.48666,2.931073e-06,0.2794827,1,0,600250.0,-2009750.0,1714,1852,background
0.0,5.0,11500.0,45.894573,207.26122,-337.78558,0.006809588,51.443497,7.3904052e-06,-0.35955787,1,0,-298250.0,-2734250.0,3163,55,background
0.0,5.0,23032.586,46.217728,196.74026,-485.9424,0.008227663,137.08449,6.9811376e-06,-0.8886885,1,0,-70250.0,-2743750.0,3182,511,background
0.0,5.0,17923.45,42.104603,183.65799,-18.624298,0.0025255722,153.31749,2.0984262e-06,0.06734652,1,0,85750.0,-1966250.0,1627,823,background
0.0,4.0,6519.2026,39.953777,175.00539,-64.35057,0.005552231,124.09039,2.2055442e-06,0.7169482,1,0,-263750.0,-2190250.0,2075,124,background
0.0,5.0,47594.64,43.578636,180.97212,-282.3738,0.011349343,183.67667,1.8417164e-06,-0.039706517,1,0,-56750.0,-2126750.0,1948,538,background
0.0,5.0,14080.128,49.580635,208.29295,-692.3921,0.01172305,156.20633,4.540391e-06,-0.9672922,1,0,67250.0,-2598250.0,2891,786,background
0.0,5.0,13647.344,44.367344,197.64436,-876.36865,0.01123179,101.68354,4.0911173e-06,-0.83724755,1,0,-32250.0,-2530750.0,2756,587,background
0.0,5.0,27064.736,43.019753,179.93982,39.041946,0.0038520969,110.427185,3.2323749e-06,0.21760328,1,0,162750.0,-1673750.0,1042,977,background
0.0,7.0,1414.2136,40.07342,178.06436,384.8965,0.012751501,140.23416,1.9646827e-06,0.64743036,1,0,385250.0,-1373750.0,442,1422,background
0.0,4.0,6103.278,41.5379,185.2847,141.18286,0.0012681714,66.93828,5.775614e-06,0.78563076,1,0,580750.0,-2472750.0,2640,1813,background
0.0,5.0,18681.541,50.279568,177.90912,-101.67891,0.0032815689,110.01553,2.1725657e-06,-0.026101772,1,0,-65750.0,-2319250.0,2333,520,background
0.0,5.0,56395.92,40.864048,154.19644,209.79224,0.0064419634,136.40053,5.152515e-07,0.65501785,1,0,522750.0,-1481750.0,658,1697,background
0.0,5.0,0.0,41.208893,164.04068,65.960396,0.0037844642,145.37848,1.9708905e-06,0.61825,1,0,460750.0,-1467750.0,630,1573,background
0.0,5.0,18927.494,40.381817,169.27672,185.87245,0.003104092,136.04494,4.558306e-07,0.63007873,1,0,435250.0,-1403750.0,502,1522,background
1.0,1.0,0.0,47.308693,200.24846,-49.68193,0.013458965,250.60484,1.4056413e-06,-0.021133922,1,0,331250.0,-2568250.0,2831,1314,background
0.0,5.0,153646.52,38.11309,168.12367,-171.65533,0.0033532858,130.68315,1.1045449e-06,-0.079033196,1,0,579750.0,-2791250.0,3277,1811,background
