carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y,row,col
0.0,4.0,500.0,40.41657,187.61844,104.66733,0.0071260617,149.9885,2.9769055e-06,0.5244439,0,252250.0,-1529250.0,753,1156
0.0,4.0,8544.004,40.696526,191.12767,22.84277,0.013853849,249.27777,6.6600433e-06,0.4820046,0,468750.0,-2367250.0,2429,1589
0.0,4.0,4272.002,45.034157,207.91667,-507.6146,0.007271844,160.67703,1.5723157e-06,-0.94392234,0,45250.0,-2633250.0,2961,742
0.0,5.0,1000.0,42.933613,213.70207,86.80104,0.0036472643,128.13673,1.2264286e-06,0.24505049,0,222750.0,-1990250.0,1675,1097
0.0,5.0,81856.58,44.047203,186.45901,-129.82617,0.0035159267,141.2204,2.4025614e-06,0.65621704,0,43750.0,-1618750.0,932,739
0.0,5.0,6708.204,46.37166,194.23712,-113.924385,0.0049621607,194.77548,8.519632e-06,0.25267705,0,207250.0,-2252750.0,2200,1066
0.0,5.0,15206.906,34.402122,157.12027,-142.15361,0.0054343194,124.85132,1.4966568e-06,0.19356053,0,-288250.0,-1596250.0,887,75
0.0,5.0,34014.703,41.97008,185.48808,-74.56038,0.0031395908,155.48836,6.7132587e-06,0.019855997,0,70750.0,-1991750.0,1678,793
0.0,5.0,18200.275,42.586445,184.88527,80.48223,0.0027995876,62.20686,4.7054564e-06,0.63881016,0,482750.0,-2562750.0,2820,1617
1.0,1.0,55915.113,44.93081,217.79103,31.572739,0.0097143,143.99658,1.7114614e-06,0.36695805,0,266750.0,-1952750.0,1600,1185
0.0,4.0,34828.15,47.515392,174.97552,-76.03774,0.0055269054,123.14287,3.282956e-06,0.10648088,0,202750.0,-1707750.0,1110,1057
0.0,5.0,165828.98,37.6862,168.1902,-162.56465,0.0012086477,135.1295,1.5509174e-06,-0.11367182,0,577750.0,-2808250.0,3311,1807
0.0,5.0,18927.494,40.654755,169.84601,154.54657,0.005109382,132.51529,3.2820944e-07,0.6158248,0,431250.0,-1425250.0,545,1514
0.0,5.0,62389.902,45.655083,208.59895,-97.057785,0.002639934,106.853745,2.6119258e-06,0.24232225,0,321250.0,-2078750.0,1852,1294
0.0,4.0,10630.1455,40.83235,169.31648,83.672386,0.0055724806,127.40801,2.0863126e-06,0.07218247,0,-141750.0,-1787750.0,1270,368
0.0,5.0,10700.467,37.454,171.91978,-71.03785,0.007940403,147.21178,4.3556415e-06,-0.078733064,0,-179250.0,-1635750.0,966,293
0.0,5.0,13756.816,46.3383,180.08168,-482.2442,0.0063855643,95.131355,1.3562712e-06,-0.2013406,0,-113250.0,-2368250.0,2431,425
1.0,5.0,7106.335,39.688583,174.09268,68.10681,0.010317625,174.27078,2.8688821e-06,0.7817305,0,-303250.0,-2197750.0,2090,45
0.0,5.0,0.0,41.284245,194.78497,-740.42395,0.01399225,196.0158,4.9500914e-06,-0.7930471,0,25750.0,-2804750.0,3304,703
