carbonate_host,lithology_code,dist_faults,moho_depth,lab_depth,gravity,gravity_hgm,mag_rtp,mag_hgm,shape_index,label,x,y
1.0,1.0,3162.2776,50.078953,174.95221,421.97964,0.009108079,211.02536,1.0197217e-05,0.049958434,0,-61250.0,-2266250.0
0.0,5.0,13000.0,43.37354,216.17734,161.9045,0.001779304,130.41087,2.320562e-06,0.26762637,0,467750.0,-1975750.0
0.0,5.0,6041.523,43.108856,194.01836,-758.9164,0.008797108,176.86829,5.2422506e-06,-0.7076662,0,-29250.0,-2807750.0
0.0,5.0,96426.14,38.509197,170.70126,-85.78072,0.003701206,120.14954,3.8034852e-07,0.051177282,0,543750.0,-2746750.0
0.0,4.0,2000.0,47.592464,205.1762,-767.062,0.017054448,151.50334,5.7790794e-06,-0.8975895,0,65250.0,-2556250.0
0.0,5.0,6020.7974,40.75455,183.69493,45.87322,0.015718335,100.772415,9.746883e-07,0.58813584,0,-291250.0,-2021250.0
0.0,5.0,32649.656,45.91811,202.57796,-398.28912,0.0036003802,160.95436,5.1393467e-06,-0.9763613,0,97250.0,-2728250.0
0.0,5.0,500.0,51.652752,172.98663,316.30286,0.014265604,203.07663,7.893114e-06,0.13002732,0,-110750.0,-2267750.0
1.0,1.0,0.0,42.515106,196.86978,10.363656,0.005683901,131.80875,7.724393e-06,0.4186829,1,385750.0,-2411750.0
0.0,5.0,2061.5527,39.48937,205.51761,-480.20636,0.013232574,150.21126,4.1360413e-06,-0.5305265,0,294750.0,-2636250.0
0.0,5.0,1802.7756,44.208965,185.27414,39.498867,0.020776838,129.29654,1.0614612e-05,-0.0289909,0,15250.0,-2336250.0
0.0,5.0,0.0,48.84834,198.4567,213.04971,0.008326196,102.099625,1.859302e-05,0.2530402,0,292750.0,-2464250.0
0.0,4.0,2121.3203,35.815594,179.38692,159.19527,0.01448965,121.85914,1.5433989e-06,0.38972834,0,-163750.0,-1507750.0
0.0,5.0,3162.2776,46.546883,180.97086,320.5076,0.0032224408,151.51837,6.0619473e-06,0.010376642,0,12250.0,-2276750.0
0.0,5.0,6041.523,50.53422,173.4396,189.89003,0.002241555,173.52116,2.594121e-06,0.3533471,0,309750.0,-1702250.0
0.0,5.0,2061.5527,41.422703,206.19264,60.432697,0.001862855,125.726395,1.6020745e-06,0.29365978,0,552750.0,-1923250.0
0.0,5.0,7500.0,46.979927,197.23459,70.53218,0.00427909,246.37999,1.2078612e-05,0.35165328,0,312750.0,-2405750.0
0.0,5.0,8500.0,44.129562,173.71661,138.79749,0.015851986,127.416504,5.467958e-06,0.41793224,0,-172750.0,-2207750.0
0.0,5.0,1414.2136,42.36726,193.67375,128.11806,0.00642284,159.97125,2.1171663e-05,0.53499234,0,449250.0,-2468750.0
0.0,5.0,120948.336,41.76288,182.59605,-143.19012,0.018468982,140.41447,2.9130101e-06,-0.031082364,0,-18250.0,-2041250.0
0.0,5.0,8732.125,45.733192,189.1831,-525.5614,0.017785028,101.898605,7.840504e-06,0.043523077,0,87750.0,-2345750.0
1.0,4.0,0.0,41.02105,193.87733,327.35178,0.011382515,250.82234,3.5897576e-06,0.4473026,0,424750.0,-2378250.0
0.0,4.0,0.0,42.18944,195.40096,51.650192,0.00618977,250.38884,7.783596e-06,0.4853656,0,428750.0,-2444750.0
0.0,5.0,2500.0,48.39429,177.75003,160.11653,0.005913948,164.45503,1.4791699e-06,0.50683343,0,428250.0,-1771250.0
0.0,5.0,0.0,43.71057,174.92625,-21.334087,0.02791986,95.23698,1.6104267e-06,0.1485381,0,-228250.0,-2352250.0
0.0,5.0,6670.832,38.0529,189.76633,240.23024,0.0044441293,117.91944,2.8107945e-06,0.8382259,0,17750.0,-1313250.0
0.0,5.0,3640.055,45.687664,181.5545,-428.615,0.003854947,197.89847,9.94678e-06,-0.079673626,0,20750.0,-2209250.0
0.0,5.0,22610.838,40.043465,165.4967,-47.705795,0.008903767,137.72424,4.999682e-07,0.6454637,0,467250.0,-1371750.0
0.0,5.0,9013.878,42.225346,197.9066,85.241745,0.0037035176,201.1845,2.7723354e-06,0.12165914,0,162750.0,-2000250.0
0.0,5.0,10124.229,40.917336,172.63715,-19.725456,0.0060102236,124.666145,1.1817032e-06,-0.25931194,1,-104750.0,-1745750.0
